"TIPO_VIVIENDA","VALOR_VIVIENDA","PATRIMONIO","NACIONALIDAD","IMPORTE","CUOTA","INGRESOS","SALDO","EDAD","ESTADO_CIVIL","CLASE"
"Vive con la familia",0,0,"Español",14000,198,11800,3691,25,"Soltero","SI"
"Vive con la familia",0,20000,"Español",18000,316,24000,15888,32,"Soltero","SI"
"Propiedad hipotecada",89000,0,"Español",20000,389,13000,3185,39,"Casado","SI"
"Propiedad hipotecada",108400,0,"Español",6700,130,30454,3143,38,"Soltero","SI"
"Propiedad libre",200000,0,"Español",10000,149,16314,1084,47,"Soltero","SI"
"Propiedad hipotecada",60000,0,"Extranjero",5300,107,13000,172,43,"Casado","SI"
"Alquiler",0,0,"Extranjero",5700,139,NA,0,47,"Soltero","NO"
"Propiedad hipotecada",50000,18000,"Español",18000,300,4600,96,45,"Casado","SI"
"Vive con la familia",0,3100,"Español",6000,117,22220,10292,42,"Soltero","SI"
"Otros",0,0,"Español",6000,117,11300,104,28,"Soltero","NO"
"Propiedad hipotecada",37800,10000,"Español",12500,213,7500,417,43,"Casado","SI"
"Propiedad libre",100000,0,"Español",5000,88,29353,9959,68,"Casado","SI"
"Alquiler",0,0,"Extranjero",11000,268,13300,615,30,"Soltero","SI"
"Propiedad hipotecada",167378,0,"Español",3500,73,7500,2962,40,"Casado","SI"
"Propiedad libre",78000,0,"Español",6000,117,11700,11,40,"Separado","SI"
"Otros",0,0,"Extranjero",4000,111,16800,113,30,"Soltero","NO"
"Propiedad hipotecada",75000,0,"Español",6000,118,30000,3551,57,"Casado","SI"
"Propiedad libre",120000,0,"Español",3000,63,14527,242,63,"Soltero","SI"
"Propiedad libre",42000,0,"Español",6000,118,19500,665,53,"Casado","SI"
"Vive con la familia",0,0,"Español",18000,311,9500,3043,22,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",2000,90,7072,164,45,"Casado","NO"
"Propiedad libre",90000,0,"Español",12000,233,9550,456,49,"Casado","SI"
"Propiedad hipotecada",30000,0,"Español",6000,122,16792,19,45,"Casado","SI"
"Propiedad hipotecada",20000,0,"Español",16000,279,12300,845,38,"Casado","SI"
"Vive con la familia",0,0,"Español",7000,168,22308,729,NA,"Casado","SI"
"Propiedad libre",95000,0,"Español",6000,125,17909,517,67,"Casado","SI"
"Alquiler",0,0,"Extranjero",6000,146,12251,299,39,"Soltero","SI"
"Propiedad libre",90500,0,"Español",29000,547,13395,9556,48,"Casado","SI"
"Vive con la familia",0,0,"Español",9000,182,NA,2699,28,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Español",10000,233,27549,16509,43,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",16000,261,17021,1127,32,"Soltero","SI"
"Vive con la familia",0,0,"Español",6000,120,9337,95,50,"Soltero","SI"
"Vive con la familia",0,0,"Español",6000,122,17600,2103,30,"Soltero","NO"
"Propiedad hipotecada",9000,0,"Extranjero",21000,410,16800,238,44,"Casado","SI"
"Propiedad hipotecada",162000,0,"Español",18000,303,19500,770,43,"Casado","SI"
"Propiedad hipotecada",9000,0,"Extranjero",5000,159,15500,0,34,"Soltero","NO"
"Propiedad libre",90000,0,"Español",9000,182,50974,938,42,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",2700,123,11700,1027,38,"Soltero","NO"
"Vive con la familia",0,0,"Español",12000,243,24421,926,49,"Soltero","SI"
"Propiedad hipotecada",96000,0,"Español",7000,139,18660,3944,37,"Separado","SI"
"Propiedad hipotecada",62000,9000,"Español",12000,250,13906,2332,NA,"Soltero","SI"
"Propiedad hipotecada",30000,280000,"Español",15200,256,19816,2392,61,"Separado","SI"
"Propiedad hipotecada",120000,0,"Español",4000,81,20824,4090,49,"Casado","SI"
"Vive con la familia",0,0,"Español",9000,178,10776,4550,26,"Soltero","SI"
"Propiedad hipotecada",17000,15000,"Español",9700,164,18016,1907,34,"Casado","SI"
"Alquiler",0,0,"Español",19224,333,6267,-231,39,"Casado","SI"
"Propiedad libre",180000,0,"Español",3000,62,7500,1431,70,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",16500,257,17497,1308,49,"Soltero","SI"
"Propiedad hipotecada",22561,0,"Extranjero",6000,122,13319,74,41,"Casado","SI"
"Otros",0,0,"Español",8500,168,16800,14328,36,"Casado","SI"
"Vive con la familia",135000,0,"Español",2199,61,18000,2,37,"Soltero","NO"
"Vive con la familia",0,0,"Español",6000,119,6790,0,50,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",9000,214,3215,4819,55,"Casado","SI"
"Alquiler",0,0,"Extranjero",3000,225,6000,166,28,"Soltero","NO"
"Vive con la familia",0,24000,"Español",8000,160,26133,1078,26,"Soltero","SI"
"Propiedad hipotecada",32993,0,"Español",21000,352,13680,832,32,"Casado","SI"
"Propiedad hipotecada",87703,0,"Español",14000,269,19333,10276,31,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Extranjero",2300,47,9600,1073,38,"Casado","SI"
"Propiedad libre",300000,0,"Español",12000,242,80687,2338,55,"Casado","SI"
"Propiedad hipotecada",54000,0,"Español",6000,117,19993,347,52,"Separado","SI"
"Propiedad libre",80000,48000,"Español",9000,182,NA,2631,65,"Casado","SI"
"Propiedad hipotecada",150250,0,"Español",18000,361,NA,3766,65,"Casado","SI"
"Propiedad libre",213000,0,"Español",30000,601,42146,0,31,"Soltero","SI"
"Propiedad hipotecada",52679,0,"Español",16000,267,27907,1356,34,"Soltero","SI"
"Propiedad libre",100000,0,"Español",9000,177,14791,12144,50,"Casado","SI"
"Alquiler",0,0,"Extranjero",3000,61,10943,17,28,"Soltero","NO"
"Otros",0,0,"Español",15000,366,41849,0,50,"Separado","NO"
"Propiedad hipotecada",300000,50000,"Español",12000,242,89066,11183,56,"Separado","SI"
"Propiedad hipotecada",108000,0,"Español",6613,129,32251,5311,54,"Soltero","SI"
"Propiedad hipotecada",89211,15000,"Español",12000,287,33000,2566,64,"Casado","SI"
"Propiedad hipotecada",68500,0,"Español",18000,276,16425,3705,51,"Casado","SI"
"Alquiler",0,0,"Extranjero",8000,195,13600,743,27,"Soltero","SI"
"Propiedad hipotecada",230000,0,"Español",20000,334,36000,4463,73,"Casado","SI"
"Propiedad hipotecada",125000,0,"Español",9000,250,18000,0,56,"Casado","SI"
"Alquiler",0,0,"Extranjero",4000,181,20400,0,34,"Soltero","NO"
"Alquiler",0,0,"Extranjero",4200,87,12880,1079,NA,"Soltero","SI"
"Propiedad libre",150000,80000,"Español",3000,51,17000,0,58,"Casado","SI"
"Propiedad hipotecada",138883,8260,"Español",18315,304,138,1707,51,"Casado","SI"
"Propiedad libre",30051,0,"Español",12000,293,7212,31,40,"Casado","SI"
"Propiedad hipotecada",97000,0,"Español",21800,522,19866,1551,NA,"Casado","SI"
"Propiedad libre",45000,111300,"Español",20000,461,9000,11047,61,"Casado","SI"
"Propiedad libre",67500,21000,"Español",30000,698,25054,31468,46,"Casado","SI"
"Propiedad libre",80000,0,"Español",18000,431,17765,7470,56,"Separado","SI"
"Propiedad hipotecada",99374,0,"Español",30000,387,31851,3149,34,"Soltero","SI"
"Alquiler",0,0,"Extranjero",18000,365,22000,10,36,"Casado","SI"
"Alquiler",0,0,"Español",10000,193,5300,6301,32,"Casado","SI"
"Alquiler",0,0,"Extranjero",9000,182,12761,450,48,"Casado","SI"
"Alquiler",0,0,"Extranjero",10000,175,13212,-96,40,"Soltero","NO"
"Propiedad hipotecada",210000,0,"Español",18000,356,25222,11795,51,"Casado","SI"
"Alquiler",0,0,"Extranjero",9000,219,16478,0,28,"Separado","NO"
"Propiedad libre",150250,0,"Español",12000,250,18200,6445,39,"Casado","SI"
"Alquiler",0,0,"Español",12000,238,20777,413,48,"Soltero","SI"
"Alquiler",0,0,"Español",7000,142,12449,84,47,"Soltero","SI"
"Alquiler",0,0,"Español",2000,49,10074,236,33,"Soltero","SI"
"Propiedad hipotecada",16013,0,"Extranjero",22000,441,12414,1582,35,"Casado","SI"
"Propiedad libre",90000,0,"Español",6000,115,13669,2909,56,"Casado","SI"
"Propiedad libre",150000,0,"Español",7000,167,6000,1473,65,"Casado","SI"
"Propiedad libre",50000,50000,"Español",6000,100,NA,482,43,"Casado","SI"
"Propiedad hipotecada",23110,0,"Extranjero",15000,252,18400,568,36,"Casado","SI"
"Propiedad hipotecada",115000,3000,"Español",4000,110,16000,319,30,"Casado","SI"
"Alquiler",0,0,"Extranjero",5000,226,9600,18,60,"Soltero","NO"
"Propiedad hipotecada",51086,0,"Español",4500,86,12730,474,64,"Soltero","SI"
"Propiedad hipotecada",90000,0,"Español",5500,108,22159,334,55,"Soltero","SI"
"Vive con la familia",0,0,"Español",15000,250,29159,4888,31,"Soltero","SI"
"Propiedad libre",125000,0,"Español",30000,518,4965,7042,40,"Casado","SI"
"Alquiler",0,0,"Español",6000,187,NA,932,37,"Soltero","SI"
"Propiedad libre",100000,20000,"Español",8800,215,15927,5012,59,"Casado","SI"
"Propiedad libre",366000,24000,"Español",20000,387,44588,8678,43,"Casado","SI"
"Vive con la familia",0,0,"Español",7000,142,12151,1076,39,"Separado","SI"
"Vive con la familia",0,0,"Español",18000,316,21700,922,31,"Soltero","SI"
"Vive con la familia",120000,0,"Español",15000,297,22500,0,29,"Soltero","SI"
"Propiedad libre",180000,0,"Extranjero",5000,99,15000,67638,51,"Separado","SI"
"Alquiler",0,0,"Extranjero",5000,157,13800,135,32,"Casado","NO"
"Vive con la familia",0,0,"Español",20000,398,55676,12213,25,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Español",6000,122,14994,18,39,"Casado","SI"
"Vive con la familia",0,0,"Español",18000,316,14880,281,27,"Soltero","SI"
"Vive con la familia",0,0,"Español",15000,297,9149,-3,51,"Soltero","SI"
"Propiedad hipotecada",167378,0,"Español",3000,63,7500,2899,40,"Casado","SI"
"Alquiler",0,0,"Extranjero",14700,248,15506,581,38,"Soltero","SI"
"Alquiler",0,0,"Español",3000,136,13520,971,54,"Soltero","NO"
"Propiedad libre",330000,0,"Español",14000,339,13956,24101,50,"Casado","SI"
"Otros",120000,20000,"Español",18000,267,11867,25210,33,"Casado","SI"
"Propiedad hipotecada",112700,20000,"Español",12000,250,31163,1119,37,"Soltero","SI"
"Alquiler",0,0,"Extranjero",10000,175,NA,112,33,"Soltero","NO"
"Otros",0,0,"Extranjero",3000,136,14105,82,24,"Soltero","NO"
"Propiedad hipotecada",120000,15000,"Español",2000,40,18154,26,NA,"Separado","SI"
"Propiedad hipotecada",99754,0,"Español",25000,407,44600,70210,40,"Soltero","SI"
"Propiedad libre",180000,0,"Español",4500,79,15950,275,NA,"Casado","SI"
"Propiedad libre",150000,0,"Español",18000,365,59318,34145,64,"Soltero","SI"
"Alquiler",0,0,"Español",7000,317,8779,3132,54,"Soltero","NO"
"Vive con la familia",0,0,"Español",15000,297,13190,1816,34,"Soltero","SI"
"Propiedad libre",30000,0,"Español",2399,67,49254,3862,32,"Casado","NO"
"Propiedad hipotecada",87470,0,"Español",13000,215,21436,1743,38,"Casado","SI"
"Otros",0,0,"Español",9000,175,13739,5015,52,"Casado","SI"
"Propiedad hipotecada",220000,224000,"Español",10000,196,2280,19832,52,"Casado","SI"
"Vive con la familia",0,0,"Español",12000,238,14676,4359,25,"Soltero","SI"
"Propiedad hipotecada",40000,0,"Español",11000,213,17814,0,34,"Soltero","SI"
"Alquiler",0,0,"Extranjero",6000,149,22343,113,46,"Soltero","SI"
"Otros",0,0,"Español",12000,376,8724,693,57,"Casado","NO"
"Propiedad libre",100000,0,"Español",9000,158,19754,528,66,"Soltero","SI"
"Alquiler",0,0,"Extranjero",17000,411,29271,9939,38,"Soltero","NO"
"Propiedad libre",120000,15000,"Español",22000,365,22271,801,55,"Casado","SI"
"Vive con la familia",0,0,"Español",24000,409,24755,1652,32,"Soltero","SI"
"Propiedad hipotecada",240405,0,"Español",10000,166,64691,18267,39,"Casado","SI"
"Vive con la familia",0,0,"Español",7500,144,14500,28835,29,"Soltero","SI"
"Otros",0,0,"Español",594,17,11200,739,37,"Soltero","SI"
"Alquiler",0,0,"Español",11000,216,23650,2855,35,"Soltero","SI"
"Alquiler",0,0,"Extranjero",3000,136,18694,0,41,"Casado","NO"
"Propiedad libre",60000,47250,"Español",16000,279,11824,653,61,"Casado","SI"
"Propiedad hipotecada",32500,0,"Español",30000,453,0,0,35,"Casado","SI"
"Otros",80712,0,"Español",5129,86,11312,1113,39,"Soltero","SI"
"Propiedad hipotecada",49935,0,"Español",7000,164,NA,2233,35,"Soltero","SI"
"Alquiler",0,0,"Extranjero",18000,365,20012,0,32,"Soltero","SI"
"Propiedad hipotecada",135000,60000,"Español",15000,252,20456,609,58,"Casado","SI"
"Propiedad hipotecada",102242,0,"Español",7000,119,15747,350,31,"Casado","SI"
"Propiedad hipotecada",200000,0,"Español",12000,290,25583,250,60,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",6000,122,18600,104,62,"Casado","SI"
"Propiedad hipotecada",132500,163500,"Español",9000,250,18800,3448,40,"Casado","SI"
"Vive con la familia",0,0,"Español",4000,98,11718,126,31,"Soltero","SI"
"Alquiler",0,0,"Extranjero",6000,188,9846,0,33,"Soltero","NO"
"Propiedad hipotecada",30000,0,"Español",7000,137,7747,2295,33,"Casado","SI"
"Vive con la familia",0,0,"Español",2200,54,9198,6655,42,"Soltero","SI"
"Alquiler",0,0,"Español",6000,187,16931,451,49,"Casado","NO"
"Propiedad hipotecada",78000,0,"Español",20000,389,12006,1114,45,"Casado","SI"
"Propiedad libre",210000,0,"Español",9000,250,36375,5536,57,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",4000,98,18000,352,43,"Casado","SI"
"Vive con la familia",0,0,"Español",3000,179,5434,0,26,"Soltero","NO"
"Vive con la familia",0,0,"Español",12000,243,25804,532,55,"Soltero","SI"
"Propiedad hipotecada",30000,0,"Extranjero",3000,61,11642,1135,38,"Soltero","SI"
"Propiedad libre",100000,0,"Español",9000,250,NA,5237,64,"Casado","SI"
"Propiedad hipotecada",150000,60000,"Español",5000,101,6072,100,47,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",6000,191,3600,0,32,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",5500,151,12600,73,35,"Casado","SI"
"Propiedad hipotecada",150000,100000,"Español",25000,483,60180,5092,40,"Soltero","SI"
"Propiedad libre",120202,0,"Español",9500,293,28068,341,58,"Soltero","SI"
"Propiedad hipotecada",120000,12000,"Español",6000,122,18960,3892,45,"Casado","SI"
"Alquiler",0,0,"Extranjero",20000,334,33843,17620,44,"Soltero","SI"
"Alquiler",0,0,"Español",7000,219,6622,2684,72,"Casado","SI"
"Alquiler",0,0,"Español",3000,61,12000,4273,55,"Soltero","SI"
"Propiedad libre",180000,0,"Español",9000,250,15000,2527,60,"Soltero","SI"
"Propiedad hipotecada",100000,0,"Español",3800,79,6441,305,39,"Casado","SI"
"Vive con la familia",0,0,"Español",9000,250,22400,702,29,"Soltero","SI"
"Propiedad libre",120000,45000,"Español",9000,188,10177,1151,42,"Soltero","SI"
"Propiedad hipotecada",75000,0,"Extranjero",2000,49,2400,55,36,"Casado","SI"
"Vive con la familia",0,0,"Español",11000,223,24019,649,41,"Soltero","SI"
"Propiedad libre",135075,12000,"Español",9000,250,22634,2145,60,"Casado","SI"
"Propiedad hipotecada",105000,0,"Español",8000,133,14917,9088,40,"Casado","SI"
"Vive con la familia",0,0,"Español",9000,250,26722,30813,37,"Soltero","SI"
"Propiedad hipotecada",150000,3000,"Español",11500,202,16181,1512,35,"Soltero","SI"
"Vive con la familia",0,0,"Español",12000,250,43885,866,53,"Separado","SI"
"Propiedad libre",150000,0,"Español",18000,314,7000,3736,NA,"Casado","SI"
"Alquiler",0,0,"Español",2000,119,9600,168,43,"Soltero","NO"
"Vive con la familia",0,0,"Extranjero",3000,137,10052,28,35,"Soltero","NO"
"Propiedad hipotecada",150000,0,"Español",9000,250,30000,2084,48,"Casado","SI"
"Propiedad libre",111000,123000,"Español",6000,125,13733,26274,49,"Casado","SI"
"Propiedad libre",180000,0,"Español",9000,250,13822,513,66,"Soltero","SI"
"Propiedad libre",100000,30000,"Español",7000,155,6906,1463,73,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,142,24039,7000,33,"Soltero","SI"
"Propiedad libre",120000,30000,"Español",9000,278,21663,3001,52,"Casado","SI"
"Propiedad libre",240000,0,"Español",5000,139,40000,1829,53,"Casado","SI"
"Propiedad libre",90000,0,"Español",4000,124,11900,214,52,"Soltero","SI"
"Propiedad libre",120000,0,"Español",8000,251,12500,6594,53,"Casado","SI"
"Propiedad libre",120000,150000,"Español",9000,250,54000,3921,59,"Soltero","SI"
"Propiedad hipotecada",42500,1000,"Español",20000,391,14876,1435,38,"Casado","SI"
"Propiedad libre",200000,0,"Español",14000,211,1053,10651,60,"Casado","SI"
"Propiedad libre",280000,60000,"Español",4000,122,10066,904,72,"Casado","SI"
"Propiedad libre",150000,5000,"Español",7100,197,45000,16772,45,"Casado","SI"
"Propiedad libre",300000,0,"Español",25000,495,21593,0,43,"Soltero","SI"
"Propiedad libre",150000,1000,"Español",9000,250,26939,0,48,"Casado","SI"
"Propiedad hipotecada",190000,0,"Español",2000,42,17420,113,46,"Casado","SI"
"Propiedad hipotecada",250000,95000,"Español",6000,122,4300,131,72,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",9000,145,13800,41,31,"Soltero","SI"
"Propiedad hipotecada",50000,0,"Español",4000,125,14972,4989,30,"Soltero","SI"
"Propiedad hipotecada",90000,0,"Extranjero",3500,110,22000,440,38,"Casado","NO"
"Vive con la familia",0,0,"Extranjero",11000,350,13000,57,53,"Soltero","NO"
"Propiedad libre",50000,0,"Español",18000,307,37662,12643,59,"Casado","SI"
"Propiedad hipotecada",130000,24000,"Español",22000,386,12543,850,32,"Casado","SI"
"Alquiler",0,0,"Español",9000,250,21079,2691,58,"Soltero","SI"
"Alquiler",0,0,"Extranjero",7000,142,13360,918,34,"Soltero","NO"
"Propiedad libre",240000,0,"Español",6000,167,18346,0,NA,"Soltero","SI"
"Otros",0,0,"Extranjero",3000,136,12163,0,28,"Soltero","NO"
"Propiedad hipotecada",192000,0,"Español",6000,94,17604,205,52,"Casado","SI"
"Propiedad libre",150000,0,"Español",26000,450,27046,1742,60,"Casado","SI"
"Propiedad hipotecada",90000,0,"Español",15200,265,13845,3076,47,"Soltero","SI"
"Propiedad libre",60000,20000,"Español",14000,284,9486,946,58,"Casado","NO"
"Propiedad hipotecada",192000,0,"Español",3000,63,22400,384,46,"Casado","SI"
"Vive con la familia",0,0,"Español",18000,365,13300,774,32,"Soltero","SI"
"Vive con la familia",0,0,"Español",9000,250,24778,7781,30,"Soltero","SI"
"Propiedad hipotecada",140000,0,"Español",2500,78,3606,1453,38,"Casado","SI"
"Alquiler",0,0,"Español",9000,250,27800,0,38,"Casado","SI"
"Propiedad libre",180000,0,"Español",9000,250,26935,1942,57,"Soltero","SI"
"Propiedad hipotecada",62500,20000,"Español",10000,244,11707,1558,43,"Casado","SI"
"Propiedad hipotecada",146887,0,"Español",9000,250,30697,14597,37,"Soltero","SI"
"Vive con la familia",0,0,"Español",1200,104,13000,-91,43,"Soltero","NO"
"Alquiler",0,0,"Extranjero",1200,104,19280,4540,39,"Casado","NO"
"Propiedad hipotecada",47642,0,"Español",12400,243,25399,338,34,"Casado","SI"
"Alquiler",0,0,"Español",9300,258,9239,199,50,"Casado","SI"
"Propiedad libre",366500,0,"Español",6000,85,23960,3162,53,"Casado","SI"
"Vive con la familia",0,0,"Español",1200,102,13029,23,24,"Soltero","NO"
"Propiedad hipotecada",200000,0,"Español",18000,276,17931,24168,53,"Casado","SI"
"Vive con la familia",0,0,"Español",7000,219,16800,58,23,"Soltero","NO"
"Propiedad libre",250000,0,"Español",9000,250,56768,477,49,"Casado","SI"
"Propiedad libre",105000,0,"Español",9000,250,25287,20115,50,"Casado","SI"
"Propiedad hipotecada",420708,0,"Español",9000,250,34092,4686,59,"Casado","SI"
"Propiedad hipotecada",4000,0,"Español",4000,98,10943,357,26,"Soltero","NO"
"Propiedad hipotecada",120000,0,"Español",9000,250,22135,0,33,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Español",6000,94,14464,237,28,"Soltero","SI"
"Propiedad hipotecada",50000,0,"Español",5000,139,10818,7639,49,"Casado","SI"
"Propiedad libre",120000,50000,"Español",15000,293,41118,7108,56,"Casado","SI"
"Alquiler",0,0,"Extranjero",7000,141,18200,1093,54,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",9000,250,30605,1066,46,"Soltero","SI"
"Propiedad hipotecada",100000,0,"Español",6000,122,NA,326,43,"Soltero","SI"
"Propiedad hipotecada",75000,0,"Español",6000,167,7180,1132,39,"Casado","SI"
"Propiedad hipotecada",25362,0,"Extranjero",6000,122,14264,-121,36,"Separado","NO"
"Vive con la familia",0,0,"Español",15000,263,13990,231,23,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Extranjero",5000,101,23769,4,51,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",12000,210,11805,4522,29,"Soltero","SI"
"Propiedad libre",60000,0,"Español",18000,316,34154,894,60,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",12000,243,36670,1450,47,"Casado","SI"
"Propiedad libre",290000,86000,"Español",34000,572,32330,7235,44,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",10000,203,22315,14371,40,"Soltero","SI"
"Vive con la familia",0,0,"Español",9000,250,15000,2787,32,"Soltero","SI"
"Otros",0,0,"Español",24000,421,NA,3745,31,"Soltero","SI"
"Vive con la familia",0,0,"Español",12000,250,36611,3830,51,"Separado","SI"
"Propiedad libre",60000,116000,"Español",6000,188,27207,7335,73,"Soltero","SI"
"Propiedad libre",240000,0,"Español",20000,627,16700,6269,NA,"Casado","SI"
"Propiedad hipotecada",240000,0,"Español",9000,250,20143,52110,45,"Soltero","SI"
"Propiedad libre",120000,0,"Español",5600,156,15000,323,48,"Separado","SI"
"Propiedad hipotecada",155000,0,"Español",20000,401,NA,2633,39,"Casado","SI"
"Alquiler",0,0,"Español",9000,184,9999,1859,57,"Soltero","SI"
"Propiedad libre",240000,400000,"Español",9000,250,37555,45157,NA,"Casado","SI"
"Propiedad hipotecada",106167,0,"Extranjero",2000,35,6600,65,29,"Casado","SI"
"Propiedad hipotecada",168200,0,"Español",9000,250,21700,5766,58,"Casado","SI"
"Propiedad hipotecada",35000,0,"Español",6000,125,19870,19,45,"Casado","SI"
"Propiedad hipotecada",140000,0,"Español",8000,195,NA,414,NA,"Soltero","NO"
"Propiedad libre",105000,0,"Español",9000,250,26600,812,53,"Casado","SI"
"Alquiler",0,0,"Español",6000,271,43961,110,48,"Casado","NO"
"Alquiler",0,0,"Extranjero",5000,101,NA,155,22,"Soltero","NO"
"Propiedad hipotecada",115000,0,"Español",9000,250,31888,550,52,"Casado","SI"
"Vive con la familia",0,0,"Español",4000,81,12000,-70,21,"Soltero","SI"
"Vive con la familia",0,0,"Español",6000,116,15829,180,33,"Soltero","SI"
"Propiedad libre",180000,180000,"Español",10000,196,32997,4442,54,"Casado","SI"
"Alquiler",0,0,"Extranjero",10000,313,3000,0,62,"Casado","SI"
"Propiedad libre",60000,0,"Español",9000,250,50315,16,52,"Casado","SI"
"Alquiler",0,0,"Extranjero",10000,208,23814,895,31,"Separado","SI"
"Propiedad libre",240000,0,"Español",9000,250,NA,442,61,"Casado","SI"
"Alquiler",0,0,"Extranjero",3000,95,23800,703,34,"Casado","SI"
"Alquiler",0,0,"Español",3000,179,12600,0,48,"Soltero","NO"
"Propiedad libre",180000,0,"Español",9000,250,20000,2347,48,"Casado","SI"
"Otros",0,0,"Español",12000,250,12700,5195,42,"Soltero","SI"
"Propiedad hipotecada",192000,0,"Español",2000,42,22400,387,46,"Casado","SI"
"Propiedad libre",150000,0,"Español",24000,460,NA,103990,52,"Casado","SI"
"Vive con la familia",58000,0,"Español",15000,293,16002,3814,35,"Soltero","SI"
"Propiedad hipotecada",90000,0,"Español",11000,223,23859,1789,48,"Soltero","SI"
"Vive con la familia",0,0,"Español",9000,250,15400,1067,25,"Soltero","SI"
"Alquiler",0,0,"Extranjero",10000,318,16890,5162,52,"Soltero","SI"
"Otros",0,0,"Extranjero",6000,148,13784,109,26,"Soltero","NO"
"Propiedad libre",45000,0,"Español",10000,178,18970,367,35,"Casado","SI"
"Vive con la familia",0,0,"Español",5000,159,NA,224,26,"Soltero","SI"
"Otros",0,12000,"Español",19000,329,NA,10377,27,"Casado","SI"
"Vive con la familia",0,0,"Español",11000,196,18000,3096,55,"Soltero","SI"
"Propiedad libre",240000,0,"Español",7000,173,10550,312,44,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",6000,123,13860,1370,23,"Soltero","SI"
"Vive con la familia",0,0,"Español",6000,167,13398,8016,32,"Soltero","SI"
"Vive con la familia",0,0,"Español",12000,245,45600,1191,32,"Soltero","SI"
"Vive con la familia",0,0,"Español",12000,240,13153,18532,29,"Soltero","SI"
"Propiedad hipotecada",70000,0,"Extranjero",32000,553,60000,7425,37,"Soltero","SI"
"Alquiler",0,0,"Extranjero",7000,145,16275,0,30,"Soltero","SI"
"Alquiler",0,0,"Extranjero",9000,185,5000,387,27,"Casado","SI"
"Propiedad libre",125000,0,"Español",9000,250,20422,1368,54,"Casado","SI"
"Propiedad libre",125000,0,"Español",9000,250,37101,1410,56,"Casado","SI"
"Vive con la familia",0,0,"Español",17000,290,25690,7970,28,"Soltero","SI"
"Propiedad libre",100000,0,"Español",9000,250,NA,21245,46,"Casado","SI"
"Propiedad hipotecada",44818,0,"Español",6000,167,18704,761,55,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",15000,249,25800,1275,41,"Soltero","SI"
"Alquiler",0,0,"Extranjero",3000,95,10500,182,42,"Casado","SI"
"Propiedad hipotecada",140000,0,"Español",9000,250,14538,1499,39,"Soltero","SI"
"Propiedad libre",105000,24000,"Español",8500,202,18724,207,53,"Casado","SI"
"Vive con la familia",0,0,"Español",9000,250,37114,13835,32,"Soltero","SI"
"Vive con la familia",0,0,"Español",8500,268,13020,602,22,"Soltero","SI"
"Propiedad hipotecada",5000,0,"Español",12000,283,13800,1721,29,"Soltero","SI"
"Alquiler",0,0,"Español",9000,185,11317,402,NA,"Casado","SI"
"Propiedad libre",228000,0,"Español",9000,250,19800,57284,53,"Casado","SI"
"Alquiler",0,0,"Español",10000,244,27732,625,37,"Soltero","SI"
"Propiedad hipotecada",60100,0,"Español",9000,250,14988,860,60,"Casado","SI"
"Propiedad hipotecada",45000,0,"Español",860,72,NA,2851,44,"Casado","SI"
"Vive con la familia",0,0,"Español",12000,250,17332,5958,29,"Soltero","SI"
"Propiedad libre",120000,0,"Español",1995,55,25200,1128,66,"Casado","SI"
"Propiedad libre",60000,6000,"Extranjero",1061,29,15367,956,53,"Casado","SI"
"Propiedad libre",450000,0,"Español",9000,250,15831,28693,63,"Casado","SI"
"Otros",0,0,"Español",12000,235,18001,23069,49,"Casado","SI"
"Vive con la familia",0,0,"Español",15000,261,15400,317,26,"Soltero","SI"
"Vive con la familia",0,0,"Español",9000,250,27638,1502,31,"Soltero","SI"
"Vive con la familia",0,0,"Español",18000,346,20127,19842,31,"Soltero","SI"
"Propiedad libre",0,0,"Español",6000,121,13478,63,51,"Separado","SI"
"Propiedad hipotecada",180000,0,"Español",20000,401,23341,1193,31,"Soltero","SI"
"Propiedad libre",240000,0,"Español",1832,153,36014,14646,51,"Casado","SI"
"Vive con la familia",0,0,"Español",1195,100,19327,638,52,"Soltero","SI"
"Propiedad libre",102000,3000,"Español",9000,250,21138,5217,57,"Casado","SI"
"Alquiler",0,0,"Extranjero",2000,83,20500,134,28,"Soltero","NO"
