"TIPO_VIVIENDA","VALOR_VIVIENDA","PATRIMONIO","NACIONALIDAD","IMPORTE","CUOTA","INGRESOS","SALDO","EDAD","ESTADO_CIVIL","CLASE"
"Alquiler",0,0,"Español",14000,277,14000,2753,37,"Soltero","SI"
"Alquiler",0,0,"Extranjero",16000,269,15000,-306,38,"Soltero","SI"
"Propiedad hipotecada",110000,0,"Español",6000,119,12000,2013,49,"Casado","SI"
"Propiedad hipotecada",0,0,"Español",6000,119,4467,372,58,"Casado","SI"
"Alquiler",0,0,"Extranjero",7000,216,14600,1625,46,"Soltero","NO"
"Propiedad hipotecada",145000,0,"Español",11000,185,25354,11632,47,"Soltero","SI"
"Propiedad libre",360000,0,"Español",10000,186,25000,0,60,"Soltero","SI"
"Propiedad hipotecada",108000,0,"Extranjero",12000,226,7200,1329,39,"Casado","SI"
"Propiedad hipotecada",80000,0,"Español",14000,239,20399,516,48,"Soltero","SI"
"Alquiler",0,0,"Extranjero",7000,216,16520,106,39,"Soltero","NO"
"Propiedad hipotecada",90000,0,"Español",10000,168,15000,221,34,"Casado","SI"
"Vive con la familia",0,0,"Español",23000,392,16060,6822,28,"Soltero","SI"
"Propiedad libre",75000,0,"Español",8000,157,12654,901,45,"Casado","SI"
"Alquiler",0,0,"Extranjero",2000,171,9600,74,30,"Soltero","NO"
"Propiedad hipotecada",25115,0,"Español",6600,131,20036,0,42,"Casado","NO"
"Propiedad hipotecada",66250,9000,"Español",12000,233,8583,951,40,"Casado","SI"
"Alquiler",0,0,"Extranjero",12000,235,19254,1404,36,"Soltero","SI"
"Vive con la familia",0,0,"Español",6000,119,10584,45,30,"Soltero","NO"
"Propiedad hipotecada",2000,12000,"Extranjero",16000,313,23172,0,28,"Casado","NO"
"Vive con la familia",0,0,"Español",17500,290,14000,2525,34,"Soltero","SI"
"Propiedad libre",360000,0,"Español",6000,115,24980,569,51,"Separado","SI"
"Propiedad hipotecada",13000,0,"Español",2500,113,12800,129,44,"Casado","NO"
"Propiedad hipotecada",136547,0,"Español",21300,384,33129,1237,46,"Casado","SI"
"Vive con la familia",0,0,"Español",16000,313,18000,14692,35,"Soltero","SI"
"Alquiler",0,0,"Extranjero",4000,96,22106,405,34,"Soltero","NO"
"Propiedad libre",180000,0,"Español",13000,193,9404,1361,56,"Casado","SI"
"Propiedad libre",60000,0,"Español",7500,152,12659,-141,61,"Casado","SI"
"Alquiler",0,0,"Extranjero",9000,182,14434,625,38,"Soltero","SI"
"Propiedad hipotecada",108180,0,"Español",15000,290,14988,6112,45,"Casado","SI"
"Otros",35000,15000,"Español",9000,182,NA,16,62,"Soltero","NO"
"Alquiler",0,0,"Español",4000,70,17928,13,63,"Soltero","SI"
"Propiedad hipotecada",105000,0,"Español",9000,212,32452,1047,59,"Casado","SI"
"Propiedad hipotecada",320000,0,"Español",18000,336,1000,17640,49,"Casado","SI"
"Propiedad libre",348000,25000,"Español",6000,117,34070,134,76,"Casado","SI"
"Vive con la familia",0,0,"Español",15000,304,16000,103,37,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",10000,244,12515,284,35,"Casado","SI"
"Propiedad libre",150000,0,"Español",15000,287,13398,45560,72,"Casado","SI"
"Propiedad hipotecada",97177,101000,"Español",50000,669,5400,11465,39,"Casado","SI"
"Propiedad libre",35000,0,"Español",16000,376,42281,5490,66,"Casado","SI"
"Propiedad libre",300000,0,"Español",12000,192,32200,21047,64,"Casado","SI"
"Alquiler",0,0,"Español",2000,90,14000,-234,45,"Soltero","NO"
"Vive con la familia",0,0,"Español",13500,255,22150,19215,32,"Soltero","SI"
"Propiedad hipotecada",52800,0,"Español",28000,554,14470,2342,53,"Casado","SI"
"Propiedad hipotecada",570000,0,"Español",12000,192,NA,5,35,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",24000,470,7949,50,34,"Casado","SI"
"Propiedad libre",48100,0,"Español",6000,146,28358,4995,NA,"Soltero","SI"
"Otros",0,0,"Español",13000,228,14000,647,33,"Soltero","SI"
